序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
1,1,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,project_avg_rpn,,M2_规则推理,规则推理,中等,项目/功能“动力电池”的平均RPN是多少？,平均RPN=133.00,动力电池 对应的RPN平均值为 133.00（n=3）。,正确,1.0,63.5,确定性规则问答,0.0,1.0,0,,1,,,133.0,,,,133.0,RPN,1,
2,2,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,project_top_mode,,M2_规则推理,规则推理,中等,项目/功能“动力电池”里RPN最高的失效模式是什么？,单体电压过低；RPN=168.0,动力电池 对应的RPN最大值为 168，对应失效模式：单体电压过低，巡航里程低于额定值,正确,1.0,43.47,确定性规则问答,0.0,1.0,0,,1,,,168.0,,,单体电压过低,168.0,FailureMode；RPN,1,
3,3,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,project_top_effect,,M2_规则推理,规则推理,中等,项目/功能“动力电池”里RPN最高的那条，它的后果是什么？,影响用户使用,影响用户使用,正确,1.0,1360.72,语义RAG,0.2222,1.0,0,1.0,9,,,,,,影响用户使用,,FailureEffect,1,
4,4,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,故障原因诊断类,cause_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的潜在失效原因/机理是什么？,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,FMEA编号“LFP001”对应的失效模式“现场电池组无输出电压”的潜在失效原因/机理是：1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏。,正确,1.0,4.89,CSV直答,1.0,1.0,0,,1,,,1.0；1.0；2.0；3.0,,,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,,,0,
5,5,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,effect_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的潜在失效后果是什么？,电池组无法工作,FMEA编号“LFP001”对应的失效模式“现场电池组无输出电压”的潜在失效后果是：电池组无法工作。,正确,1.0,4.04,CSV直答,1.0,1.0,0,,1,,,,,,电池组无法工作,,,0,
6,6,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,rpn_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的RPN是多少？,RPN=63.0,FMEA编号“LFP001”对应的失效模式“现场电池组无输出电压”的RPN是：63。,正确,1.0,4.0,CSV直答,1.0,1.0,0,,1,,,63.0,,,,63.0,RPN,0,
7,7,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,s_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的S是多少？,S=7.0,7,正确,1.0,667.89,语义RAG,0.3333,1.0,0,,6,,,7.0,,,,7.0,S,0,
8,8,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,o_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的O是多少？,O=3.0,3,正确,1.0,264.64,语义RAG,0.3333,1.0,0,,6,,,3.0,,,,3.0,O,0,
9,9,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,风险影响评估类,d_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的D是多少？,D=3.0,3,正确,1.0,294.66,语义RAG,0.3333,1.0,0,,6,,,3.0,,,,3.0,D,0,
10,10,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,故障措施推荐类,action_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的建议措施是什么？,现场更换损坏器件和改正错误,FMEA编号“LFP001”对应的失效模式“现场电池组无输出电压”的建议措施是：现场更换损坏器件和改正错误。,正确,1.0,5.04,CSV直答,1.0,1.0,0,,1,,,,,,现场更换损坏器件和改正错误,,RecommendedAction,0,
