answer,correct,detail,error,extra_terms,idx,kind,missing_terms,numeric_delta,question,score
动力电池 对应的潜在失效模式包括：单体电压过低，巡航里程低于额定值，现场电池组无输出电压,1,exact_set,,,1,mode,,,项目/功能“动力电池”对应的潜在失效模式有哪些？,1
是。失效模式“单体电压过低”的潜在失效原因/机理包括：单节电池容量降低或损坏。,1,exact_boolean,,,2,cause,,,失效模式“单体电压过低”对应的原因是否包含“单节电池容量降低或损坏”？,1
是。失效模式“巡航里程低于额定值”的潜在失效后果包括：影响用户使用。,1,exact_boolean,,,3,effect,,,失效模式“巡航里程低于额定值”的后果是否为“影响用户使用”？,1
针对“电池箱体进水”，现行预防性设计控制是：提高防护等级；现行探测性设计控制是：绝缘检测。,1,exact_set,,,4,controls,,,针对失效模式“电池箱体进水”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“电池箱体进灰尘”的RPN是84。,1,exact_number,,,5,rpn,,0.0,失效模式“电池箱体进灰尘”的RPN是多少？,1
失效模式“电池组漏液”的严重度是9。,1,exact_number,,,6,s,,0.0,失效模式“电池组漏液”的严重度是多少？,1
失效模式“注塑件起火”的频度数是1。,1,exact_number,,,7,o,,0.0,失效模式“注塑件起火”的频度数是多少？,1
失效模式“电解液挥发”的探测度数是6。,1,exact_number,,,8,d,,0.0,失效模式“电解液挥发”的探测度数是多少？,1
电池壳体 对应的RPN平均值为 96.00（n=2）。,1,exact_number,,,9,avg,,0.0,项目/功能“电池壳体”的平均RPN是多少？,1
高压箱 对应的RPN最大值为 180，对应失效模式：输出不受控制,1,exact_set,,,10,max,,,项目/功能“高压箱”中RPN最高的失效模式是什么？,1
高压箱 对应的潜在失效模式包括：充电时触电，在负载连接的情况下意外开盖，漏电，输出不受控制，过电流，高压带电,1,exact_set,,,11,mode,,,项目/功能“高压箱”对应的潜在失效模式有哪些？,1
是。失效模式“输出不受控制”的潜在失效原因/机理包括：元器件损坏。,1,exact_boolean,,,12,cause,,,失效模式“输出不受控制”对应的原因是否包含“元器件损坏”？,1
是。失效模式“高压带电”的潜在失效后果包括：安全事故。,1,exact_boolean,,,13,effect,,,失效模式“高压带电”的后果是否为“安全事故”？,1
针对“在负载连接的情况下意外开盖”，现行预防性设计控制是：提高防护等级；现行探测性设计控制是：未记录。,1,exact_set,,,14,controls,,,针对失效模式“在负载连接的情况下意外开盖”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“充电时触电”的RPN是90。,1,exact_number,,,15,rpn,,0.0,失效模式“充电时触电”的RPN是多少？,1
失效模式“电池组整体温度过高”的严重度是6。,1,exact_number,,,16,s,,0.0,失效模式“电池组整体温度过高”的严重度是多少？,1
失效模式“电池组整体温度过低”的频度数是4。,1,exact_number,,,17,o,,0.0,失效模式“电池组整体温度过低”的频度数是多少？,1
失效模式“噪音过大”的探测度数是8。,1,exact_number,,,18,d,,0.0,失效模式“噪音过大”的探测度数是多少？,1
热管理系统 对应的RPN平均值为 128.33（n=6）。,1,exact_number,,,19,avg,,0.0,项目/功能“热管理系统”的平均RPN是多少？,1
热管理系统 对应的RPN最大值为 168，对应失效模式：电池组整体温度过低，电池组整体温度过高,1,exact_set,,,20,max,,,项目/功能“热管理系统”中RPN最高的失效模式是什么？,1
热管理系统 对应的潜在失效模式包括：噪音过大，整体温度高，管理目标无法实现，电池组整体温度过低，电池组整体温度过高，电池间温度一致性差，连接片过热,1,exact_set,,,21,mode,,,项目/功能“热管理系统”对应的潜在失效模式有哪些？,1
是。失效模式“数据采样干扰性大和采样不准确”的潜在失效原因/机理包括：电磁干扰，电路板虚焊或保护电阻损坏。,1,exact_boolean,,,22,cause,,,失效模式“数据采样干扰性大和采样不准确”对应的原因是否包含“电磁干扰，电路板虚焊或保护电阻损坏”？,1
是。失效模式“SOC异常”的潜在失效后果包括：影响用户使用。,1,exact_boolean,,,23,effect,,,失效模式“SOC异常”的后果是否为“影响用户使用”？,1
针对“电池组过充未报警和未保护”，现行预防性设计控制是：BMS 控制系统升级；现行探测性设计控制是：充放电性能测试。,1,exact_set,,,24,controls,,,针对失效模式“电池组过充未报警和未保护”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“电池组过放未报警和未保护”的RPN是240。,1,exact_number,,,25,rpn,,0.0,失效模式“电池组过放未报警和未保护”的RPN是多少？,1
失效模式“BMS通信异常”的严重度是4。,1,exact_number,,,26,s,,0.0,失效模式“BMS通信异常”的严重度是多少？,1
失效模式“现场电池组无输出电压”的频度数是3。,1,exact_number,,,27,o,,0.0,失效模式“现场电池组无输出电压”的频度数是多少？,1
失效模式“单体电压过低”的探测度数是6。,1,exact_number,,,28,d,,0.0,失效模式“单体电压过低”的探测度数是多少？,1
动力电池 对应的RPN平均值为 133.00（n=3）。,1,exact_number,,,29,avg,,0.0,项目/功能“动力电池”的平均RPN是多少？,1
电池组箱体 对应的RPN最大值为 126，对应失效模式：电池箱体进水,1,exact_set,,,30,max,,,项目/功能“电池组箱体”中RPN最高的失效模式是什么？,1
电池组箱体 对应的潜在失效模式包括：电池箱体进水，电池箱体进灰尘，电池组漏液,1,exact_set,,,31,mode,,,项目/功能“电池组箱体”对应的潜在失效模式有哪些？,1
是。失效模式“电池组漏液”的潜在失效原因/机理包括：电池组间隙大电池受到挤压碰撞震动。,1,exact_boolean,,,32,cause,,,失效模式“电池组漏液”对应的原因是否包含“电池组间隙大电池受到挤压碰撞震动”？,1
是。失效模式“注塑件起火”的潜在失效后果包括：安全事故。,1,exact_boolean,,,33,effect,,,失效模式“注塑件起火”的后果是否为“安全事故”？,1
针对“电解液挥发”，文档中未记录现行预防性设计控制和探测性设计控制。,1,exact_set,,,34,controls,,,针对失效模式“电解液挥发”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“电池漏液”的RPN是108。,1,exact_number,,,35,rpn,,0.0,失效模式“电池漏液”的RPN是多少？,1
失效模式“漏电”的严重度是10。,1,exact_number,,,36,s,,0.0,失效模式“漏电”的严重度是多少？,1
失效模式“过电流”的频度数是2。,1,exact_number,,,37,o,,0.0,失效模式“过电流”的频度数是多少？,1
失效模式“输出不受控制”的探测度数是5。,1,exact_number,,,38,d,,0.0,失效模式“输出不受控制”的探测度数是多少？,1
高压箱 对应的RPN平均值为 103.00（n=6）。,1,exact_number,,,39,avg,,0.0,项目/功能“高压箱”的平均RPN是多少？,1
高压箱 对应的RPN最大值为 180，对应失效模式：输出不受控制,1,exact_set,,,40,max,,,项目/功能“高压箱”中RPN最高的失效模式是什么？,1
高压箱 对应的潜在失效模式包括：充电时触电，在负载连接的情况下意外开盖，漏电，输出不受控制，过电流，高压带电,1,exact_set,,,41,mode,,,项目/功能“高压箱”对应的潜在失效模式有哪些？,1
是。失效模式“电池组整体温度过高”的潜在失效原因/机理包括：风道设计不合理。,1,exact_boolean,,,42,cause,,,失效模式“电池组整体温度过高”对应的原因是否包含“风道设计不合理”？,1
是。失效模式“电池组整体温度过低”的潜在失效后果包括：影响电池工作。,1,exact_boolean,,,43,effect,,,失效模式“电池组整体温度过低”的后果是否为“影响电池工作”？,1
针对“噪音过大”，文档中未记录现行预防性设计控制和探测性设计控制。,1,exact_set,,,44,controls,,,针对失效模式“噪音过大”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“电池间温度一致性差”的RPN是140。,1,exact_number,,,45,rpn,,0.0,失效模式“电池间温度一致性差”的RPN是多少？,1
失效模式“整体温度高，管理目标无法实现”的严重度是4。,1,exact_number,,,46,s,,0.0,失效模式“整体温度高，管理目标无法实现”的严重度是多少？,1
失效模式“连接片过热”的频度数是3。,1,exact_number,,,47,o,,0.0,失效模式“连接片过热”的频度数是多少？,1
失效模式“数据采样干扰性大和采样不准确”的探测度数是5。,1,exact_number,,,48,d,,0.0,失效模式“数据采样干扰性大和采样不准确”的探测度数是多少？,1
