序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
1,1,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Abnormal vibration”会造成“Excessive Fatigue Life Consumption”，它的潜在原因/机理是什么？,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,匹配到2条记录：1) FMEA编号=TO1；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Abnormal vibration；失效原因=Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.；失效后果=Excessive Fatigue Life Consumption；建议措施=-；2) FMEA编号=TO2；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Abnormal vibration；失效原因=Environmental condition; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.；失效后果=Excessive Fatigue Life Consumption；建议措施=-。,正确,1.0,129.06,确定性规则问答,1.0,1.0,0,,2,,,,,,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,0,
2,2,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Abnormal vibration”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Installation phase; Faulty welding of Tower [10,15]","匹配到2条记录：1) FMEA编号=TO3；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Abnormal vibration；失效原因=Installation phase; Faulty welding of Tower [10,15]；失效后果=Potential collapse；建议措施=-；2) FMEA编号=TO4；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Abnormal vibration；失效原因=Maintenance phase; Due to poor inspection Faulty welding of Tower couldn't be detected before getting severe [10,15]；失效后果=Potential collapse；建议措施=-。",正确,1.0,26.65,确定性规则问答,1.0,1.0,0,,2,,,10.0；15.0；10.0；15.0,,,"Installation phase; Faulty welding of Tower [10,15]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,2,
3,3,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Cracks”会造成“Failure of whole facility and vast economic loses”，它的潜在原因/机理是什么？,"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]","匹配到7条记录：1) FMEA编号=TO16；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Design phase; Braking system failure due to wrong estimation of operating conditions [15]；失效后果=Failure of whole facility and vast economic loses；建议措施=-；2) FMEA编号=TO18；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Design phase; Lightning strikes damages due to inefficient lightning prevention system [9]；失效后果=Failure of whole facility and vast economic loses；建议措施=-；3) FMEA编号=TO19；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Manufacturing; Hit by blades due to poor manufacturing quality control [9]；失效后果=Failure of whole facility and vast economic loses；建议措施=-；4) FMEA编号=TO20；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Maintenance; Hit by blades due to poor maintenance and inspection leading to undetected wear and damage [15]；失效后果=Failure of whole facility and vast economic loses；建议措施=-；5) FMEA编号=TO21；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=due to Operation; Hit by blades due to human error or operational failure [15]；失效后果=Failure of whole facility and vast economic loses；建议措施=-；6) FMEA编号=TO5；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]；失效后果=Failure of whole facility and vast economic loses；建议措施=High-fidelity coupled aero-hydro-elastic simulation in design updates; Thicker shell sections / local reinforcement；7) FMEA编号=TO6；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Environmental loads; Material fatigue due to high waves and high frequency of loads [1]；失效后果=Failure of whole facility and vast economic loses；建议措施=Enhanced SHM: acoustic emission, strain gauges, modal monitoring; -; High-fidelity coupled aero-hydro-elastic simulation in design updates; Weld detail optimization and hotspot redesign。",正确,1.0,25.98,确定性规则问答,1.0,1.0,1,,7,,,14.0,,7.0；7.0,"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,4,
4,4,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Cracks”会造成“Potential collapse”，它的潜在原因/机理是什么？,Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11],"匹配到6条记录：1) FMEA编号=TO10；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Fabrication; Material fatigue due to insufficient manufacturing quality [15]；失效后果=Potential collapse；建议措施=-；2) FMEA编号=TO12；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Installation phase; Installation phase stress/fatigue due to waves, wind, and process. Incorrect installation/error can cause stress concentration and fatigue. [11]；失效后果=Potential collapse；建议措施=-；3) FMEA编号=TO13；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Maintenance phase; Corrosion due to lack of regular inspection and maintenance to prevent critical steps and failure [11]；失效后果=Potential collapse；建议措施=-；4) FMEA编号=TO14；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Operation phase; Repeated or cyclic loading and unloading of the tower over a long period of time can cause cracks caused by plastic deformation [11]；失效后果=Potential collapse；建议措施=-；5) FMEA编号=TO15；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Maintenance phase; Blade replacements, repairs, and corrosion mitigation can add stress. Improper execution can lead to damage and fatigue. [11]；失效后果=Potential collapse；建议措施=-；6) FMEA编号=TO7；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11]；失效后果=Potential collapse；建议措施=Weld detail optimization and hotspot redesign; Enhanced SHM: acoustic emission, strain gauges, modal monitoring; Thicker shell sections / local reinforcement; High-fidelity coupled aero-hydro-elastic simulation in design updates。",正确,1.0,24.79,确定性规则问答,1.0,1.0,1,,6,,,11.0；11.0；11.0；11.0；11.0,,6.0；5.0；6.0,Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,6,
5,5,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary structure & welding”中，故障现象“Cracks”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]","匹配到2条记录：1) FMEA编号=TO8；项目/功能=Tower / Tower (TO) / Primary structure & welding；失效模式=Cracks；失效原因=Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]；失效后果=Potential collapse；建议措施=-；2) FMEA编号=TO9；项目/功能=Tower / Tower (TO) / Primary structure & welding；失效模式=Cracks；失效原因=Manufacturing; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]；失效后果=Potential collapse；建议措施=-。",正确,1.0,23.39,确定性规则问答,1.0,1.0,1,,2,,,1.0；1.0；15.0；1.0；15.0,,2.0；2.0,"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,7,
6,6,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Welding”中，故障现象“Cracks”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]","匹配到1条记录：1) FMEA编号=TO11；项目/功能=Tower / Tower (TO) / Welding；失效模式=Cracks；失效原因=Fabrication; Welding failure due to Poor quality control during the welding process [1,10]；失效后果=Potential collapse；建议措施=-。",正确,1.0,22.28,确定性规则问答,1.0,1.0,0,,1,,,1.0；1.0；1.0；10.0,,,"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,10,
7,7,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Cracks”会造成“Failure of the WTG/Major repair campaign/Structure reassessment”，它的潜在原因/机理是什么？,Environmental condition; Lightning strikes[9],匹配到1条记录：1) FMEA编号=TO17；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Cracks；失效原因=Environmental condition; Lightning strikes[9]；失效后果=Failure of the WTG/Major repair campaign/Structure reassessment；建议措施=-。,正确,1.0,21.58,确定性规则问答,1.0,1.0,0,,1,,,9.0,,,Environmental condition; Lightning strikes[9],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,16,
8,8,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Plastic deformation”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]","匹配到2条记录：1) FMEA编号=TO22；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Plastic deformation；失效原因=Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]；失效后果=Potential collapse；建议措施=-；2) FMEA编号=TO23；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Plastic deformation；失效原因=Design phase; Plastic deformation due to insufficient yield strength and lack of detailed stress analysis and simulations [13]；失效后果=Potential collapse；建议措施=Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates。",正确,1.0,21.32,确定性规则问答,1.0,1.0,1,,2,,,11.0,,2.0；2.0,"Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,21,
9,9,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Tower collapse”会造成“Failure of whole facility and vast economic loses”，它的潜在原因/机理是什么？,Operation phase; Mooring system failure can lead to direct tower collapse [1],匹配到1条记录：1) FMEA编号=TO24；项目/功能=Tower / Tower (TO) / Primary steelwork；失效模式=Tower collapse；失效原因=Operation phase; Mooring system failure can lead to direct tower collapse [1]；失效后果=Failure of whole facility and vast economic loses；建议措施=-。,正确,1.0,21.53,确定性规则问答,1.0,1.0,0,,1,,,1.0；1.0；1.0,,,Operation phase; Mooring system failure can lead to direct tower collapse [1],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,23,
10,10,Full全量模型,无,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,"在项目/功能“Transition piece / Transition Piece / Primary structure & welding”中，故障现象“Transition piece break”会造成“Tower Unit collapse, Floater Unit damage”，它的潜在原因/机理是什么？",Design; Analysis and calculation fault due to human error [11],"匹配到4条记录：1) FMEA编号=TP1；项目/功能=Transition piece / Transition Piece (TP) / Primary structure & welding；失效模式=Transition piece break；失效原因=Design; Analysis and calculation fault due to human error [11]；失效后果=Tower Unit collapse, Floater Unit damage；建议措施=Interface redesign to reduce stress concentrations (fillets, radii); High-fidelity coupled analysis of TP–tower–floater interaction; Improve engineering skills；2) FMEA编号=TP16；项目/功能=Transition piece / Transition Piece (TP) / Primary structure & welding；失效模式=Transition piece break；失效原因=Design; Under-designed structure/ Component due to human error/Insufficient environmental data；失效后果=Tower Unit collapse, Floater Unit damage；建议措施=High-fidelity coupled analysis of TP–tower–floater interaction; Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates；3) FMEA编号=TP17；项目/功能=Transition piece / Transition Piece (TP) / Primary structure & welding；失效模式=Transition piece break；失效原因=Operation and Maintenance; Undetected defects and poor quality control [11]；失效后果=Tower Unit collapse, Floater Unit damage；建议措施=SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Welding quality assurance and NDT enhancement (phased-array UT)；4) FMEA编号=TP5；项目/功能=Transition piece / Transition Piece (TP) / Primary structure & welding；失效模式=Transition piece break；失效原因=Environmental condition; Design parameters superseded due to climate change [11]；失效后果=Tower Unit collapse, Floater Unit damage；建议措施=High-fidelity coupled analysis of TP–tower–floater interaction; Design requalification for extreme storms (updated metocean; load cases); Improved metocean data measurements。",正确,1.0,21.49,确定性规则问答,1.0,1.0,1,,4,,,11.0；11.0；11.0,,4.0；4.0,Design; Analysis and calculation fault due to human error [11],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,24,
