序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
1,1,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,project_avg_rpn,,M2_规则推理,规则推理,中等,项目/功能“动力电池”的平均RPN是多少？,平均RPN=133.00,133,正确,1.0,4866.69,语义RAG,0.3333,1.0,0,,3,,,133.0,,,,133.0,RPN,1,
2,2,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,project_top_mode,,M2_规则推理,规则推理,中等,项目/功能“动力电池”里RPN最高的失效模式是什么？,单体电压过低；RPN=168.0,单体电压过低,错误,0.5,831.53,语义RAG,0.6667,1.0,0,,3,,168.0,,,,单体电压过低,168.0,FailureMode；RPN,1,
3,3,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,project_top_effect,,M2_规则推理,规则推理,中等,项目/功能“动力电池”里RPN最高的那条，它的后果是什么？,影响用户使用,影响用户使用,正确,1.0,367.51,语义RAG,0.6667,1.0,0,1.0,3,,,,,,影响用户使用,,FailureEffect,1,
4,4,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的潜在失效原因/机理是什么？,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,失效原因是：1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏。,正确,1.0,664.47,语义RAG,0.3333,1.0,0,,3,,,1.0；2.0；3.0,,,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,,,0,
5,5,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的潜在失效后果是什么？,电池组无法工作,电池组无法工作,正确,1.0,458.75,语义RAG,0.3333,1.0,0,,3,,,,,,电池组无法工作,,,0,
6,6,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的RPN是多少？,RPN=63.0,63,正确,1.0,310.9,语义RAG,0.3333,1.0,0,,3,,,63.0,,,,63.0,RPN,0,
7,7,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,s_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的S是多少？,S=7.0,7,正确,1.0,281.95,语义RAG,0.3333,1.0,0,,3,,,7.0,,,,7.0,S,0,
8,8,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,o_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的O是多少？,O=3.0,3,正确,1.0,280.9,语义RAG,0.3333,1.0,0,,3,,,3.0,,,,3.0,O,0,
9,9,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,d_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的D是多少？,D=3.0,3,正确,1.0,268.39,语义RAG,0.3333,1.0,0,,3,,,3.0,,,,3.0,D,0,
10,10,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP001”这条的建议措施是什么？,现场更换损坏器件和改正错误,建议措施 / RecommendedAction / action / 怎么处理 / 咋处理: 现场更换损坏器件和改正错误,正确,1.0,529.17,语义RAG,0.3333,1.0,0,,3,,,,,,现场更换损坏器件和改正错误,,RecommendedAction,0,
11,11,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“现场电池组无输出电压”对应的潜在失效原因/机理是什么？,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,上下文中的失效模式并不包含“现场电池组无输出电压”， closest 的失效模式是 “高压箱 输出不受控制”，其失效原因是 “元器件损坏”。因此，根据提供的信息，“现场电池组无输出电压”的潜在失效原因/机理可能是 元器件损坏。,错误,0.0,1263.58,语义RAG,0.0,0.0,0,,3,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,,,,,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,,,0,
12,12,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“现场电池组无输出电压”对应的潜在失效后果是什么？,电池组无法工作,你提到的失效模式“现场电池组无输出电压”在提供的上下文中并没有出现，因此我无法根据给定的信息回答这个问题。根据现有信息，最接近的是“失效模式 / FailureMode / problem / issue / 毛病 / 啥问题 / 什么坏: 输出不受控制”，其对应的失效后果是“安全事故”。但请注意这并不是你所询问的失效模式。,错误,0.0,1174.09,语义RAG,0.0,0.0,0,,3,电池组无法工作,,,,,电池组无法工作,,,0,
13,13,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“现场电池组无输出电压”的RPN是多少？,RPN=63.0,不知道。,错误,0.0,282.62,语义RAG,0.0,0.0,0,,3,,63.0,,,,,63.0,RPN,0,
14,14,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“现场电池组无输出电压”对应的建议措施是什么？,现场更换损坏器件和改正错误,不知道。上下文中的失效模式没有包含“现场电池组无输出电压”。,错误,0.0,443.8,语义RAG,0.0,0.0,0,,3,现场更换损坏器件和改正错误,,,,,现场更换损坏器件和改正错误,,RecommendedAction,0,
15,15,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“现场电池组无输出电压”这个问题，原因讲白一点是什么？,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,原因是电池组开路、未明确区分正负极、主电缆未连接、连接错误或器件损坏。,错误,0.0,946.69,语义RAG,0.6667,1.0,0,,3,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,,,,,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,,,0,
16,16,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“现场电池组无输出电压”最后会带来什么后果？,电池组无法工作,电池组无法工作,正确,1.0,475.48,语义RAG,1.0,1.0,0,,3,,,,,,电池组无法工作,,,0,
17,17,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“现场电池组无输出电压”一般怎么处理？,现场更换损坏器件和改正错误,建议措施=现场更换损坏器件和改正错误.,正确,1.0,520.46,语义RAG,1.0,1.0,0,,3,,,,,,现场更换损坏器件和改正错误,,,0,
18,18,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“现场电池组无输出电压”的风险最后会体现成什么？,电池组无法工作,后果: 电池组无法工作,正确,1.0,509.42,语义RAG,1.0,1.0,0,,3,,,,,,电池组无法工作,,,0,
19,19,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_bool,,M4_证据裁决,证据裁决,简单,FMEA编号“LFP001”对应的原因是否就是“1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏”？,是,是的，FMEA编号“LFP001”对应的原因就是“1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏”。,正确,1.0,1174.79,语义RAG,0.6667,0.6667,0,,3,,,,,,,,是/否判断,0,
20,20,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_bool,,M4_证据裁决,证据裁决,简单,FMEA编号“LFP001”对应的后果是否就是“电池组无法工作”？,是,是的，FMEA编号“LFP001”对应的后果就是“电池组无法工作”。,正确,1.0,909.65,语义RAG,0.3333,0.3333,0,,3,,,,,,,,是/否判断,0,
21,21,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,mode_project_bool,,M4_证据裁决,证据裁决,简单,失效模式“现场电池组无输出电压”是不是出现在项目/功能“动力电池”里？,是,是的，失效模式“现场电池组无输出电压”出现在项目/功能“动力电池”里。,正确,1.0,609.16,语义RAG,1.0,1.0,0,,3,,,,,,,,是/否判断,0,
22,22,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_mode_code,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“现场电池组无输出电压”对应的FMEA编号是什么？,LFP001,不知道。上下文中的失效模式没有提到“现场电池组无输出电压”。,错误,0.0,590.5,语义RAG,0.0,0.0,0,,3,LFP001,,,,,LFP001,,FmeaID,0,
