answer,correct,detail,error,extra_terms,idx,kind,missing_terms,numeric_delta,question,score
失效模式“现场电池组无输出电压”属于项目/功能“动力电池”。,1,exact_text,,,1,mode_project,,,失效模式“现场电池组无输出电压”属于哪个项目/功能？,1
失效模式“现场电池组无输出电压”对应的FMEA编号是：H-187-1.1。,1,exact_text,,,2,mode_code,,,失效模式“现场电池组无输出电压”对应的FMEA编号是什么？,1
失效模式“现场电池组无输出电压”的RPN是：63。,1,exact_number,,,3,mode_rpn,,0.0,失效模式“现场电池组无输出电压”的RPN是多少？,1
失效模式“现场电池组无输出电压”的严酷度S是：7。,1,exact_number,,,4,mode_s,,0.0,失效模式“现场电池组无输出电压”的严酷度S是多少？,1
失效模式“现场电池组无输出电压”的发生度O是：3。,1,exact_number,,,5,mode_o,,0.0,失效模式“现场电池组无输出电压”的发生度O是多少？,1
失效模式“现场电池组无输出电压”的可探测度D是：3。,1,exact_number,,,6,mode_d,,0.0,失效模式“现场电池组无输出电压”的可探测度D是多少？,1
"失效模式“现场电池组无输出电压”的潜在失效原因/机理是：电池组开路, 未明确区分正负极, 主电缆未连接、连接错误或器件损坏。",1,exact_text,,,7,mode_cause,,,失效模式“现场电池组无输出电压”的潜在失效原因/机理是什么？,1
失效模式“现场电池组无输出电压”的潜在失效后果是：电池组无法工作。,1,exact_text,,,8,mode_effect,,,失效模式“现场电池组无输出电压”的潜在失效后果是什么？,1
针对失效模式“现场电池组无输出电压”，现行预防控制是：用颜色和材料区分；现行探测控制是：BIT机内测试。,1,exact_set,,,9,mode_controls,,,针对失效模式“现场电池组无输出电压”，现行预防控制和现行探测控制分别是什么？,1
针对失效模式“现场电池组无输出电压”，建议措施是：现场更换损坏器件和改正错误。,1,exact_text,,,10,mode_action,,,针对失效模式“现场电池组无输出电压”，建议措施是什么？,1
"是。失效模式“现场电池组无输出电压”的潜在失效原因/机理是：电池组开路, 未明确区分正负极, 主电缆未连接、连接错误或器件损坏。",1,exact_boolean,,,11,mode_boolean_cause,,,"失效模式“现场电池组无输出电压”的原因是否包含“电池组开路, 未明确区分正负极, 主电缆未连接、连接错误或器件损坏”？",1
是。失效模式“现场电池组无输出电压”的潜在失效后果是：电池组无法工作。,1,exact_boolean,,,12,mode_boolean_effect,,,失效模式“现场电池组无输出电压”的后果是否为“电池组无法工作”？,1
是。失效模式“现场电池组无输出电压”所属项目/功能是：动力电池。,1,exact_boolean,,,13,mode_boolean_project,,,失效模式“现场电池组无输出电压”是否属于“动力电池”？,1
是。失效模式“现场电池组无输出电压”所属产品是：磷酸铁锂电池。,1,exact_boolean,,,14,mode_boolean_product,,,失效模式“现场电池组无输出电压”是否来自产品“磷酸铁锂电池”？,1
是。失效模式“现场电池组无输出电压”的RPN是：63。,1,exact_boolean,,,15,mode_boolean_rpn,,,失效模式“现场电池组无输出电压”的RPN是否为“63”？,1
是。失效模式“现场电池组无输出电压”的严酷度S是：7。,1,exact_boolean,,,16,mode_boolean_s,,,失效模式“现场电池组无输出电压”的严酷度是否为“7”？,1
是。失效模式“现场电池组无输出电压”的发生度O是：3。,1,exact_boolean,,,17,mode_boolean_o,,,失效模式“现场电池组无输出电压”的发生度是否为“3”？,1
是。失效模式“现场电池组无输出电压”的可探测度D是：3。,1,exact_boolean,,,18,mode_boolean_d,,,失效模式“现场电池组无输出电压”的可探测度是否为“3”？,1
是。失效模式“现场电池组无输出电压”的现行预防控制为“用颜色和材料区分”。,1,exact_text,,,19,mode_has_prevent,,,失效模式“现场电池组无输出电压”是否记录了现行预防控制？,1
是。失效模式“现场电池组无输出电压”的现行探测控制为“BIT机内测试”。,1,exact_text,,,20,mode_has_detect,,,失效模式“现场电池组无输出电压”是否记录了现行探测控制？,1
是。失效模式“现场电池组无输出电压”的现行预防控制是：用颜色和材料区分。,1,exact_boolean,,,21,mode_boolean_prevent,,,失效模式“现场电池组无输出电压”的现行预防控制是否为“用颜色和材料区分”?,1
是。失效模式“现场电池组无输出电压”的现行探测控制是：BIT机内测试。,1,exact_boolean,,,22,mode_boolean_detect,,,失效模式“现场电池组无输出电压”的现行探测控制是否为“BIT机内测试”？,1
是。失效模式“现场电池组无输出电压”的建议措施是：现场更换损坏器件和改正错误。,1,exact_boolean,,,23,mode_boolean_action,,,失效模式“现场电池组无输出电压”的建议措施是否为“现场更换损坏器件和改正错误”？,1
FMEA编号“H-187-1.1”对应的失效模式是：现场电池组无输出电压。,1,exact_text,,,24,code_to_mode,,,FMEA编号“H-187-1.1”对应的失效模式是什么？,1
