序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
1,1501,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_cause,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO1”这条里，潜在失效原因/机理是什么？,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,根据上下文，没有找到FMEA编号为“TO1”的条目，因此无法提供具体的潜在失效原因/机理。,错误,0.0,668.12,语义RAG,0.0,0.0,0,,3,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,,,,,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,,潜在失效原因/机理,0,
2,1502,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_effect,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO2”这条里，潜在失效后果是什么？,Excessive Fatigue Life Consumption,Potential collapse,错误,0.0,448.88,语义RAG,0.0,0.0,0,,3,Excessive Fatigue Life Consumption,,,,,Excessive Fatigue Life Consumption,,潜在失效后果,1,
3,1503,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_rpn,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO3”这条的RPN是多少？,RPN=12.67,26,错误,0.0,425.73,语义RAG,0.0,0.0,0,,3,,12.67,,,,,12.67,RPN,2,
4,1504,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_action,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO23”对应的建议措施是什么？,Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates,根据上下文，没有提供具体的FMEA编号“TO23”的建议措施信息。其他编号的FMEA条目中也没有包含建议措施的内容。,错误,0.0,502.81,语义RAG,0.0,0.0,0,,3,Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates,,,,,Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates,,建议措施,22,
5,1505,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_sod,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO5”这条的S、O、D、RPN分别是多少？,,这个问题与提供的上下文中的任何记录都不匹配，因为所有记录都没有明确指出FMEA编号为“TO5”的信息。根据给出的信息，无法确定FMEA编号“TO5”的S、O、D、RPN值。,错误,0.0,825.8,语义RAG,0.0,0.5,0,,3,,3.8；2.0；3.0；26.0,,,,,3.8；2.0；3.0；26.0,严酷度(S)；发生度(O)；可探测度(D)；RPN,4,
6,1506,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_cause,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO6”这条里，潜在失效原因/机理是什么？,Environmental loads; Material fatigue due to high waves and high frequency of loads [1],根据上下文，没有找到FMEA编号为“TO6”的记录，因此无法提供其潜在失效原因/机理。,错误,0.0,626.07,语义RAG,0.0,0.0,0,,3,Environmental loads; Material fatigue due to high waves and high frequency of loads [1],,,,,Environmental loads; Material fatigue due to high waves and high frequency of loads [1],,潜在失效原因/机理,5,
7,1507,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_effect,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO7”这条里，潜在失效后果是什么？,Potential collapse,Potential collapse,正确,1.0,450.89,语义RAG,0.0,1.0,0,,3,,,,,,Potential collapse,,潜在失效后果,6,
8,1508,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_rpn,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO8”这条的RPN是多少？,RPN=21.8,26,错误,0.0,414.91,语义RAG,0.0,0.0,0,,3,,21.8,,,,,21.8,RPN,7,
9,1509,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_action,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TP9”对应的建议措施是什么？,Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,根据上下文，没有找到FMEA编号为“TP9”的记录，因此无法提供对应的建议措施。其他条目的建议措施字段都是空的。,错误,0.0,517.64,语义RAG,0.0,0.0,0,,3,Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,,,,,Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,,建议措施,32,
10,1510,baseline模型,baseline兼容旧逻辑,模块专项测试,module_m1_sod,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO10”这条的S、O、D、RPN分别是多少？,,这个问题与提供的上下文不符，上下文中没有提到FMEA编号为“TO10”的记录。根据给出的信息，有的FMEA编号是“[1]”，“[2]”，和“[3]”。因此我无法回答该问题。,错误,0.0,855.85,语义RAG,0.0,0.25,0,,3,,4.0；2.25；3.67；40.0,,,,,4.0；2.25；3.67；40.0,严酷度(S)；发生度(O)；可探测度(D)；RPN,9,
