FMEA编号,产品,分析层级,项目/功能,潜在失效模式,潜在失效后果,严酷度(S),潜在失效原因/机理,发生度(O),现行预防控制,现行探测控制,可探测度(D),风险优先数(RPN),措施优先级(AP),建议措施,措施状态,措施结果,备注
TO1,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Abnormal vibration,Excessive Fatigue Life Consumption,4.4,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,3.0,,,2.5,33.33,,-,,,"source_table: Tower; source_record_id: 8; remarks: No; -; Weighted scores for Tower failure modes range from 1.8 to 3.0, indicating moderate to high perceived effectiveness of the proposed mitigations. For example, T3 includes a mitigation option with a score of 3.0 (high-fidelity simulation), reflecting strong expert confidence in simulation-based requalification. Conversely, some SHM-based mitigations in T1 scored around 2.1, indicating moderate effectiveness but high scalability. Overall, the Tower subsystem shows consistent expert agreement on the value of simulation-driven design updates and targeted reinforcement.; 24; 40"
TO2,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Abnormal vibration,Excessive Fatigue Life Consumption,4.4,Environmental condition; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,3.0,,,2.5,33.33,,-,,,source_table: Tower; source_record_id: 9; remarks: No; -; 24; 40
TO3,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Abnormal vibration,Potential collapse,3.75,"Installation phase; Faulty welding of Tower [10,15]",2.2,,,3.0,12.67,,-,,,source_table: Tower; source_record_id: 10; remarks: No; -; 6; 20
TO4,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Abnormal vibration,Potential collapse,4.2,"Maintenance phase; Due to poor inspection Faulty welding of Tower couldn't be detected before getting severe [10,15]",2.0,,,3.0,31.0,,-,,,source_table: Tower; source_record_id: 11; remarks: No; -; 12; 48
TO5,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,3.8,"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]",2.0,,,3.0,26.0,,High-fidelity coupled aero-hydro-elastic simulation in design updates; Thicker shell sections / local reinforcement,,,source_table: Tower; source_record_id: 12; remarks: Yes; Simulation-based re-evaluation and local reinforcement were consistently selected. DNV-ST-0119 referredand. Challenges in transferring extreme loads between AHSE tools and FEM software were highlighted.; 6; 40
TO6,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,4.4,Environmental loads; Material fatigue due to high waves and high frequency of loads [1],2.6,,,3.2,25.25,,"Enhanced SHM: acoustic emission, strain gauges, modal monitoring; -; High-fidelity coupled aero-hydro-elastic simulation in design updates; Weld detail optimization and hotspot redesign",,,source_table: Tower; source_record_id: 13; remarks: Yes; 16; 40
TO7,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Potential collapse,4.4,Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11],2.8,,,3.2,30.0,,"Weld detail optimization and hotspot redesign; Enhanced SHM: acoustic emission, strain gauges, modal monitoring; Thicker shell sections / local reinforcement; High-fidelity coupled aero-hydro-elastic simulation in design updates",,,"source_table: Tower; source_record_id: 14; remarks: Yes; A balanced mix of design-detail improvements, monitoring, and advanced simulation was selected. Relevant standards referenced: DNV-RP-C203 (fatigue design of offshore steel welds), IEC 61400-3-2, and DNV-ST-0119.; 16; 40"
TO8,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary structure & welding,Cracks,Potential collapse,4.0,"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]",2.25,,,3.67,21.8,,-,,,source_table: Tower; source_record_id: 15; remarks: No; -; 5; 36
TO9,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary structure & welding,Cracks,Potential collapse,4.0,"Manufacturing; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]",2.25,,,3.67,38.0,,-,,,source_table: Tower; source_record_id: 16; remarks: No; -; 20; 80
TO10,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Potential collapse,4.0,Fabrication; Material fatigue due to insufficient manufacturing quality [15],2.25,,,3.67,40.0,,-,,,source_table: Tower; source_record_id: 17; remarks: No; -; 24; 80
TO11,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Welding,Cracks,Potential collapse,4.0,"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]",2.25,,,3.67,33.33,,-,,,source_table: Tower; source_record_id: 18; remarks: No; -; 24; 40
TO12,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Potential collapse,4.0,"Installation phase; Installation phase stress/fatigue due to waves, wind, and process. Incorrect installation/error can cause stress concentration and fatigue. [11]",2.8,,,3.75,30.0,,-,,,source_table: Tower; source_record_id: 19; remarks: No; -; 16; 40
TO13,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Potential collapse,3.75,Maintenance phase; Corrosion due to lack of regular inspection and maintenance to prevent critical steps and failure [11],3.0,,,2.67,40.75,,-,,,source_table: Tower; source_record_id: 20; remarks: No; -; 27; 60
TO14,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Potential collapse,4.33,Operation phase; Repeated or cyclic loading and unloading of the tower over a long period of time can cause cracks caused by plastic deformation [11],2.0,,,2.67,33.5,,-,,,source_table: Tower; source_record_id: 21; remarks: No; -; 12; 64
TO15,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Potential collapse,3.67,"Maintenance phase; Blade replacements, repairs, and corrosion mitigation can add stress. Improper execution can lead to damage and fatigue. [11]",2.33,,,3.0,30.0,,-,,,source_table: Tower; source_record_id: 22; remarks: No; -; 18; 45
TO16,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,4.25,Design phase; Braking system failure due to wrong estimation of operating conditions [15],1.75,,,3.0,26.0,,-,,,source_table: Tower; source_record_id: 23; remarks: No; -; 16; 40
TO17,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of the WTG/Major repair campaign/Structure reassessment,3.8,Environmental condition; Lightning strikes[9],2.4,,,3.0,25.5,,-,,,source_table: Tower; source_record_id: 24; remarks: No; -; 16; 32
TO18,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,4.0,Design phase; Lightning strikes damages due to inefficient lightning prevention system [9],2.4,,,3.25,33.33,,-,,,source_table: Tower; source_record_id: 25; remarks: No; -; 24; 40
TO19,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,4.0,Manufacturing; Hit by blades due to poor manufacturing quality control [9],1.5,,,2.67,23.33,,-,,,source_table: Tower; source_record_id: 26; remarks: No; -; 10; 40
TO20,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,4.0,Maintenance; Hit by blades due to poor maintenance and inspection leading to undetected wear and damage [15],2.0,,,2.67,26.5,,-,,,source_table: Tower; source_record_id: 27; remarks: No; -; 18; 40
TO21,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Cracks,Failure of whole facility and vast economic loses,4.25,due to Operation; Hit by blades due to human error or operational failure [15],1.5,,,3.33,27.0,,-,,,source_table: Tower; source_record_id: 28; remarks: No; -; 18; 45
TO22,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Plastic deformation,Potential collapse,4.0,"Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]",2.25,,,3.0,25.67,,-,,,source_table: Tower; source_record_id: 29; remarks: No; -; 8; 45
TO23,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Plastic deformation,Potential collapse,4.4,Design phase; Plastic deformation due to insufficient yield strength and lack of detailed stress analysis and simulations [13],2.2,,,2.8,18.0,,Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates,,,"source_table: Tower; source_record_id: 30; remarks: Yes; Mitigations cluster around control-based avoidance, clearance optimisation, and simulation-driven design updates. DNV-ST-0119 and the need for dedicated time-domain analysis for TMDs.; 16; 20"
TO24,Floating Offshore Wind Array FMEA,Tower,Tower / Tower (TO) / Primary steelwork,Tower collapse,Failure of whole facility and vast economic loses,5.0,Operation phase; Mooring system failure can lead to direct tower collapse [1],1.5,,,3.33,21.33,,-,,,source_table: Tower; source_record_id: 31; remarks: No; -; 6; 40
TP1,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Transition piece break,"Tower Unit collapse, Floater Unit damage",4.75,Design; Analysis and calculation fault due to human error [11],2.5,,,3.0,36.5,,"Interface redesign to reduce stress concentrations (fillets, radii); High-fidelity coupled analysis of TP–tower–floater interaction; Improve engineering skills",,,"source_table: Transition piece; source_record_id: 8; remarks: Yes; A mix of design-detail improvements, advanced coupled analysis, and competence-based mitigations was proposed. Critical design reviews, and workflow was recommended. Relevant standards referenced: DNV-ST-0119; Weighted score bands for Transition Piece failure modes range from 1.5 to 3.0, indicating a mix of low-TRL but high-impact mitigations) and high-TRL. For example, TP9 includes a mitigation scoring 1.5 (design requalification with low TRL and high cost), while TP1 includes options scoring 3.0 (improve engineering skills. Overall, the Transition Piece subsystem shows strong expert convergence on simulation-driven design updates and metocean-data-driven requalification.; 18; 80"
TP2,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure,Transition piece break,"tension failure (rupture), buckling of the transition piece/ Tower unit damage",4.25,"Operation and Maintenance; Brittle fracture due to extreme environmental temperature, leading to a shift in the ductile-to-brittle transition temperature [16]",2.25,,,3.25,33.0,,"SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Design requalification for extreme storms (updated metocean; load cases); -",,,source_table: Transition piece; source_record_id: 9; remarks: Yes; -; 18; 60
TP3,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary stucture,Structural plastic deformation,Local stress accumulation,4.0,"Operation; Changes in wave spectra can cause increased loads, resonance, and stress concentrations, leading to plastic deformation in offshore wind turbines. [11]",2.5,,,3.0,32.0,,"SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled analysis of TP–tower–floater interaction; -",,,source_table: Transition piece; source_record_id: 10; remarks: Yes; Expert views diverged and there were concerns about future metocean conditions. Standards: DNV-ST-0119; 12; 60
TP4,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Cracks,Tower transition piece connections failure / resonance,3.5,"Operation; Cycling loading could cause microstructural changes in the material and eventually lead to fatigue crack initiation [1,15]",2.5,,,3.75,29.0,,-,,,source_table: Transition piece; source_record_id: 11; remarks: No; -; 20; 36
TP5,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Transition piece break,"Tower Unit collapse, Floater Unit damage",5.0,Environmental condition; Design parameters superseded due to climate change [11],2.0,,,2.67,31.0,,High-fidelity coupled analysis of TP–tower–floater interaction; Design requalification for extreme storms (updated metocean; load cases); Improved metocean data measurements,,,source_table: Transition piece; source_record_id: 12; remarks: Yes; -; 18; 48
TP6,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Abnormal vibration,potential tower connections failure,4.25,Operation; due to unbalanced loads or wind-induced vibrations. [11],2.75,,,3.0,35.25,,-,,,source_table: Transition piece; source_record_id: 13; remarks: No; -; 20; 45
