FailureMode;RPN;ProcessStep;FailureEffect;S;FailureCause;O;FailureMeasure;DetectionMeasure;D
Abnormal vibration;33.33;Tower / Tower (TO) / Primary steelwork;Excessive Fatigue Life Consumption;4.4;"Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.";3.0;-;-;2.5
Abnormal vibration;33.33;Tower / Tower (TO) / Primary steelwork;Excessive Fatigue Life Consumption;4.4;"Environmental condition; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.";3.0;-;-;2.5
Abnormal vibration;12.67;Tower / Tower (TO) / Primary steelwork;Potential collapse;3.75;"Installation phase; Faulty welding of Tower [10,15]";2.2;-;-;3.0
Abnormal vibration;31.0;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.2;"Maintenance phase; Due to poor inspection Faulty welding of Tower couldn't be detected before getting severe [10,15]";2.0;-;-;3.0
Cracks;26.0;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;3.8;"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]";2.0;"High-fidelity coupled aero-hydro-elastic simulation in design updates; Thicker shell sections / local reinforcement";-;3.0
Cracks;25.25;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;4.4;"Environmental loads; Material fatigue due to high waves and high frequency of loads [1]";2.6;"Enhanced SHM: acoustic emission, strain gauges, modal monitoring; -; High-fidelity coupled aero-hydro-elastic simulation in design updates; Weld detail optimization and hotspot redesign";-;3.2
Cracks;30.0;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.4;"Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11]";2.8;"Weld detail optimization and hotspot redesign; Enhanced SHM: acoustic emission, strain gauges, modal monitoring; Thicker shell sections / local reinforcement; High-fidelity coupled aero-hydro-elastic simulation in design updates";-;3.2
Cracks;21.8;Tower / Tower (TO) / Primary structure & welding;Potential collapse;4.0;"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]";2.25;-;-;3.67
Cracks;38.0;Tower / Tower (TO) / Primary structure & welding;Potential collapse;4.0;"Manufacturing; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]";2.25;-;-;3.67
Cracks;40.0;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.0;"Fabrication; Material fatigue due to insufficient manufacturing quality [15]";2.25;-;-;3.67
Cracks;33.33;Tower / Tower (TO) / Welding;Potential collapse;4.0;"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]";2.25;-;-;3.67
Cracks;30.0;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.0;"Installation phase; Installation phase stress/fatigue due to waves, wind, and process. Incorrect installation/error can cause stress concentration and fatigue. [11]";2.8;-;-;3.75
Cracks;40.75;Tower / Tower (TO) / Primary steelwork;Potential collapse;3.75;"Maintenance phase; Corrosion due to lack of regular inspection and maintenance to prevent critical steps and failure [11]";3.0;-;-;2.67
Cracks;33.5;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.33;"Operation phase; Repeated or cyclic loading and unloading of the tower over a long period of time can cause cracks caused by plastic deformation [11]";2.0;-;-;2.67
Cracks;30.0;Tower / Tower (TO) / Primary steelwork;Potential collapse;3.67;"Maintenance phase; Blade replacements, repairs, and corrosion mitigation can add stress. Improper execution can lead to damage and fatigue. [11]";2.33;-;-;3.0
Cracks;26.0;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;4.25;"Design phase; Braking system failure due to wrong estimation of operating conditions [15]";1.75;-;-;3.0
