序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
1,1,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Abnormal vibration”会造成“Excessive Fatigue Life Consumption”，它的潜在原因/机理是什么？,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,失效原因 / FailureCause / cause / reason / 为什么 / 为啥 / 咋来的: Environmental condition; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,错误,0.0,945.77,语义RAG,0.6667,0.0,0,,3,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,,,,,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,0,
2,2,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Abnormal vibration”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Installation phase; Faulty welding of Tower [10,15]","安装阶段；焊缝缺陷 [10,15]",错误,0.0,556.0,语义RAG,0.6667,1.0,0,,3,"Installation phase; Faulty welding of Tower [10,15]",,10.0；15.0,,,"Installation phase; Faulty welding of Tower [10,15]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,2,
3,3,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Cracks”会造成“Failure of whole facility and vast economic loses”，它的潜在原因/机理是什么？,"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]",失效原因 / FailureCause / cause / reason / 为什么 / 为啥 / 咋来的: - due to Operation; Hit by blades due to human error or operational failure [15] - Design phase; Braking system failure due to wrong estimation of operating conditions [15] - Maintenance; Hit by blades due to poor maintenance and inspection leading to undetected wear and damage [15],错误,0.0,1125.71,语义RAG,1.0,0.0,0,,3,"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]",,,,,"Environmental loads; The interaction between the blades and the tower can cause pressure fluctuations, leading to cyclic fatigue [14]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,4,
4,4,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Cracks”会造成“Potential collapse”，它的潜在原因/机理是什么？,Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11],安装阶段；安装阶段应力/疲劳由于波浪、风和工艺过程。错误的安装/错误可以导致应力集中和疲劳。,错误,0.0,697.71,语义RAG,0.6667,0.0,0,,3,Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11],,,,,Environmental condition; Cyclic wind/wave loading (above design assumption)creates stress concentrations and fatigue. [11],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,6,
5,5,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary structure & welding”中，故障现象“Cracks”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]","失效原因是：Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]。",错误,0.0,695.14,语义RAG,1.0,1.0,0,,3,"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]",,1.0；15.0,,,"Design phase; Welding failure due to Poor design or inadequate specification of welding procedures considering harsh environmental condition [1,15]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,7,
6,6,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Welding”中，故障现象“Cracks”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]",安装阶段；安装阶段应力/疲劳由于波浪、风和工艺。错误的安装/操作可以导致应力集中和疲劳。,错误,0.0,683.19,语义RAG,0.3333,0.0,0,,3,"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]",,,,,"Fabrication; Welding failure due to Poor quality control during the welding process [1,10]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,10,
7,7,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Cracks”会造成“Failure of the WTG/Major repair campaign/Structure reassessment”，它的潜在原因/机理是什么？,Environmental condition; Lightning strikes[9],失效原因 / FailureCause / cause / reason / 为什么 / 为啥 / 咋来的: Environmental condition; Lightning strikes[9],正确,1.0,676.92,语义RAG,0.6667,1.0,0,,3,,,9.0,,,Environmental condition; Lightning strikes[9],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,16,
8,8,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Plastic deformation”会造成“Potential collapse”，它的潜在原因/机理是什么？,"Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]","失效原因 / FailureCause / cause / reason / 为什么 / 为啥 / 咋来的: Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11] 失效原因 / FailureCause / cause / reason / 为什么 / 为啥 / 咋来的: Design phase; Plastic deformation due to insufficient yield strength and lack of detailed stress analysis and simulations [13]",正确,1.0,1218.48,语义RAG,1.0,1.0,0,,3,,,11.0,,,"Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]",,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,21,
9,9,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,在项目/功能“Tower / Tower / Primary steelwork”中，故障现象“Tower collapse”会造成“Failure of whole facility and vast economic loses”，它的潜在原因/机理是什么？,Operation phase; Mooring system failure can lead to direct tower collapse [1],Operation phase; Mooring system failure can lead to direct tower collapse [1],正确,1.0,562.39,语义RAG,0.6667,1.0,0,,3,,,1.0,,,Operation phase; Mooring system failure can lead to direct tower collapse [1],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,23,
10,10,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,项目失效现象后果查原因,故障原因查询,,,简单,"在项目/功能“Transition piece / Transition Piece / Primary structure & welding”中，故障现象“Transition piece break”会造成“Tower Unit collapse, Floater Unit damage”，它的潜在原因/机理是什么？",Design; Analysis and calculation fault due to human error [11],失效原因 / FailureCause / cause / reason / 为什么 / 为啥 / 咋来的: Operation and Maintenance; Undetected defects and poor quality control [11],错误,0.0,755.6,语义RAG,0.6667,1.0,0,,3,Design; Analysis and calculation fault due to human error [11],,11.0,,,Design; Analysis and calculation fault due to human error [11],,项目/功能；潜在失效模式；潜在失效后果；潜在失效原因/机理,24,
