模型,模型编号,模块,模块名称,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
baseline模型,baseline,M1,M1_编号直答,50,7,0.14,0.175,585.58,0.1267,0.449,0,
baseline模型,baseline,M2,M2_规则推理,50,19,0.38,0.38,682.98,0.3933,0.64,0,
baseline模型,baseline,M3,M3_自然语言检索,50,28,0.56,0.56,728.72,0.3867,0.74,0,
baseline模型,baseline,M4,M4_证据裁决,50,28,0.56,0.56,724.56,0.4133,0.4133,0.08,
Full全量模型,Full,M1,M1_编号直答,50,12,0.24,0.24,554.36,0.1167,0.6071,0,
Full全量模型,Full,M2,M2_规则推理,50,36,0.72,0.72,798.87,0.2256,0.94,0,
Full全量模型,Full,M3,M3_自然语言检索,50,26,0.52,0.52,805.79,0.3067,0.86,0,
Full全量模型,Full,M4,M4_证据裁决,50,39,0.78,0.78,774.94,0.4033,0.4033,0.02,
Full-M1去除CSV直答模块,Full-M1,M1,M1_编号直答,50,12,0.24,0.24,559.2,0.1167,0.6071,0,
Full-M1去除CSV直答模块,Full-M1,M2,M2_规则推理,50,36,0.72,0.72,792.74,0.2256,0.94,0,
Full-M1去除CSV直答模块,Full-M1,M3,M3_自然语言检索,50,26,0.52,0.52,800.12,0.3067,0.86,0,
Full-M1去除CSV直答模块,Full-M1,M4,M4_证据裁决,50,39,0.78,0.78,776.4,0.4033,0.4033,0.02,
Full-M2去除确定性规则问答模块,Full-M2,M1,M1_编号直答,50,12,0.24,0.24,561.72,0.1167,0.6071,0,
Full-M2去除确定性规则问答模块,Full-M2,M2,M2_规则推理,50,36,0.72,0.72,805.56,0.2769,0.94,0,
Full-M2去除确定性规则问答模块,Full-M2,M3,M3_自然语言检索,50,26,0.52,0.52,804.4,0.3067,0.86,0,
Full-M2去除确定性规则问答模块,Full-M2,M4,M4_证据裁决,50,39,0.78,0.78,771.95,0.4033,0.4033,0.02,
Full-M3去除查询理解与检索增强模块,Full-M3,M1,M1_编号直答,50,10,0.2,0.2,345.11,0.1267,0.4388,0,
Full-M3去除查询理解与检索增强模块,Full-M3,M2,M2_规则推理,50,22,0.44,0.44,440.05,0.36,0.78,0.02,
Full-M3去除查询理解与检索增强模块,Full-M3,M3,M3_自然语言检索,50,22,0.44,0.44,659.06,0.3933,0.76,0.02,
Full-M3去除查询理解与检索增强模块,Full-M3,M4,M4_证据裁决,50,36,0.72,0.72,528.06,0.4067,0.4067,0.1,
Full-M4去除证据检查与路由裁决模块,Full-M4,M1,M1_编号直答,50,15,0.3,0.3,903.48,0.1133,0.5663,0,
Full-M4去除证据检查与路由裁决模块,Full-M4,M2,M2_规则推理,50,37,0.74,0.74,1144.5,0.2256,0.92,0,
Full-M4去除证据检查与路由裁决模块,Full-M4,M3,M3_自然语言检索,50,33,0.66,0.66,950.56,0.31,0.88,0,
Full-M4去除证据检查与路由裁决模块,Full-M4,M4,M4_证据裁决,50,31,0.62,0.62,985.53,0.4,0.4,0,
