record_id,item_process,analysis_level,function,failure_mode,failure_effect,failure_cause,severity,occurrence,prevention_control,ext_temperature_cycle,ext_relative_humidity,ext_steady_temperature,ext_contamination,ext_electrical_stress,ext_location,detection_control,current_control,detection,rpn,action_priority,recommended_action,owner,target_completion_date,action_taken,revised_severity,revised_occurrence,revised_detection,revised_rpn,status,remarks,source_table,source_record_id
H-187-1.1,磷酸铁锂电池,H-187-1,动力电池,['现场电池组无输出电压'],['电池组无法工作'],"['电池组开路', '未明确区分正负极', '主电缆未连接、连接错误或器件损坏']",7.0,3.0,['用颜色和材料区分'],,,,,,,['BIT机内测试'],,3.0,63.0,,['现场更换损坏器件和改正错误'],,,,,,,,,"图号=LSTLDC-DLDC-1;功能描述=高安全、长寿命、低成本锂电,适用于电动汽车和储能系统。",,
H-187-1.2,磷酸铁锂电池,H-187-1,动力电池,['单体电压过低'],['影响用户使用'],['单节电池容量降低或损坏'],7.0,4.0,['设定标准值'],,,,,,,['BIT机内测试'],,6.0,168.0,,['更换电压过低电池'],,,,,,,,,"图号=LSTLDC-DLDC-1;功能描述=高安全、长寿命、低成本锂电,适用于电动汽车和储能系统。",,
H-187-1.3,磷酸铁锂电池,H-187-1,动力电池,['巡航里程低于额定值'],['影响用户使用'],['电池组单节容量降低或整体过低'],7.0,4.0,['设定标准值'],,,,,,,['BIT机内测试'],,6.0,168.0,,['更换电压过低电池'],,,,,,,,,"图号=LSTLDC-DLDC-1;功能描述=高安全、长寿命、低成本锂电,适用于电动汽车和储能系统。",,
H-187-2.1,磷酸铁锂电池,H-187-2,电池组箱体,['电池箱体进水'],['电池短路、电子器件失效或损坏、箱体生锈'],['电池箱体密封不严'],7.0,3.0,['提高防护等级'],,,,,,,['BIT机内测试'],,6.0,126.0,,['现场做防水处理'],,,,,,,,,"图号=LSTLDC-DCZXT-1;功能描述=保护电池模块,提供结构支撑与安全防护。",,
H-187-2.2,磷酸铁锂电池,H-187-2,电池组箱体,['电池箱体进灰尘'],['电子器件失效或损坏、影响电池组散热'],['电池箱体密封不严'],7.0,2.0,['提高防护等级'],,,,,,,['BIT机内测试'],,6.0,84.0,,['现场做防尘处理'],,,,,,,,,"图号=LSTLDC-DCZXT-1;功能描述=保护电池模块,提供结构支撑与安全防护。",,
H-187-2.3,磷酸铁锂电池,H-187-2,电池组箱体,['电池组漏液'],['安全事故'],['电池组间隙大电池受到挤压碰撞震动'],9.0,2.0,,,,,,,,['BIT机内测试'],,6.0,108.0,,['现场做防震处理'],,,,,,,,,"图号=LSTLDC-DCZXT-1;功能描述=保护电池模块,提供结构支撑与安全防护。",,
H-187-3.1,磷酸铁锂电池,H-187-3,绝缘注塑件,['注塑件起火'],['安全事故'],['绝缘注塑件不阻燃'],10.0,1.0,,,,,,,,['ETA自动检测'],,6.0,60.0,,['更换绝缘注塑件'],,,,,,,,,图号=LSTLDC-JYZSJ-1;功能描述=绝缘注塑件用于电池内部电气隔离与结构固定。,,
H-187-4.1,磷酸铁锂电池,H-187-4,电池壳体,['电解液挥发'],['电池容量降低'],['电池壳体密封不严'],7.0,2.0,,,,,,,,['BIT机内测试'],,6.0,84.0,,['更换电池'],,,,,,,,,"图号=LSTLDC-DCKT-1;功能描述=保护电池内部结构,提供机械支撑与防护。",,
H-187-4.2,磷酸铁锂电池,H-187-4,电池壳体,['电池漏液'],['安全事故'],"['外力损伤', '碰撞、安装不规范造成密封结构破坏', '制造原因：焊接缺陷、封合胶量不足造成密封性能不好。']",9.0,2.0,,,,,,,,['BIT机内测试'],,6.0,108.0,,['更换电池'],,,,,,,,,"图号=LSTLDC-DCKT-1;功能描述=保护电池内部结构,提供机械支撑与防护。",,
H-187-5.1,磷酸铁锂电池,H-187-5,高压箱,['漏电'],['安全事故'],['无有效保护措施'],10.0,2.0,['提高防护等级'],,,,,,,['BIT机内测试'],,6.0,120.0,,['现场做防护处理'],,,,,,,,,"图号=LSTLDC-GYX-1;功能描述=分配和管理电池系统的高压电能,确保安全传输与保护。",,
