序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
1,1501,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_cause,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO1”这条里，潜在失效原因/机理是什么？,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,FMEA编号“TO1”对应的失效模式“Abnormal vibration”的潜在失效原因/机理是：Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.。,正确,1.0,27.7,CSV直答,1.0,1.0,0,,1,,,,,,Design phase; Resonance occurs when the natural frequency of the tower or other components of the wind turbine matches the frequency of the wind or other external forces.,,潜在失效原因/机理,0,
2,1502,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_effect,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO2”这条里，潜在失效后果是什么？,Excessive Fatigue Life Consumption,FMEA编号“TO2”对应的失效模式“Abnormal vibration”的潜在失效后果是：Excessive Fatigue Life Consumption。,正确,1.0,3.37,CSV直答,1.0,1.0,0,,1,,,,,,Excessive Fatigue Life Consumption,,潜在失效后果,1,
3,1503,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_rpn,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO3”这条的RPN是多少？,RPN=12.67,FMEA编号“TO3”对应的失效模式“Abnormal vibration”的RPN是：12.67。,正确,1.0,3.14,CSV直答,1.0,1.0,0,,1,,,12.67,,,,12.67,RPN,2,
4,1504,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_action,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO23”对应的建议措施是什么？,Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates,FMEA编号“TO23”对应的失效模式“Plastic deformation”的建议措施是：Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates。,正确,1.0,3.48,CSV直答,1.0,1.0,0,,1,,,,,,Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates,,建议措施,22,
5,1505,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_sod,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO5”这条的S、O、D、RPN分别是多少？,,FMEA编号“TO5”对应的失效模式“Cracks”的S、O、D、RPN分别是：S=3.8；O=2.0；D=3.0；RPN=26.0。,正确,1.0,3.19,CSV直答,1.0,1.0,0,,1,,,3.8；2.0；3.0；26.0,,,,3.8；2.0；3.0；26.0,严酷度(S)；发生度(O)；可探测度(D)；RPN,4,
6,1506,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_cause,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO6”这条里，潜在失效原因/机理是什么？,Environmental loads; Material fatigue due to high waves and high frequency of loads [1],FMEA编号“TO6”对应的失效模式“Cracks”的潜在失效原因/机理是：Environmental loads; Material fatigue due to high waves and high frequency of loads [1]。,正确,1.0,3.15,CSV直答,1.0,1.0,0,,1,,,1.0,,,Environmental loads; Material fatigue due to high waves and high frequency of loads [1],,潜在失效原因/机理,5,
7,1507,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_effect,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO7”这条里，潜在失效后果是什么？,Potential collapse,FMEA编号“TO7”对应的失效模式“Cracks”的潜在失效后果是：Potential collapse。,正确,1.0,3.13,CSV直答,1.0,1.0,0,,1,,,,,,Potential collapse,,潜在失效后果,6,
8,1508,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_rpn,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO8”这条的RPN是多少？,RPN=21.8,FMEA编号“TO8”对应的失效模式“Cracks”的RPN是：21.8。,正确,1.0,3.14,CSV直答,1.0,1.0,0,,1,,,21.8,,,,21.8,RPN,7,
9,1509,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_action,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TP9”对应的建议措施是什么？,Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,FMEA编号“TP9”对应的失效模式“Cracks”的建议措施是：Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates。,正确,1.0,3.23,CSV直答,1.0,1.0,0,,1,,,,,,Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,,建议措施,32,
10,1510,Full-M4去除证据检查与路由裁决模块,M4 证据检查与路由裁决模块,模块专项测试,module_m1_sod,module_m1_direct,M1_编号直答,FMEA编号、字段明确、单条记录直答。,简单,FMEA编号“TO10”这条的S、O、D、RPN分别是多少？,,FMEA编号“TO10”对应的失效模式“Cracks”的S、O、D、RPN分别是：S=4.0；O=2.25；D=3.67；RPN=40.0。,正确,1.0,3.14,CSV直答,1.0,1.0,0,,1,,,4.0；2.25；3.67；40.0,,,,4.0；2.25；3.67；40.0,严酷度(S)；发生度(O)；可探测度(D)；RPN,9,
